Segment,Day,From,To,AvgSpeed,BusCount
Shaul1,23,17:44:00,17:59:00,25.887050897144807,1
Shaul2,23,17:44:00,17:59:00,0,1
Shaul2,23,17:59:00,18:14:00,0,1
Shaul3,23,17:59:00,18:14:00,0,1
Shaul4,23,17:59:00,18:14:00,0,1
Shaul2,23,18:14:00,18:29:00,26.294592196152692,1
Shaul1,23,18:29:00,18:44:00,25.887050897144807,2
Shaul4,23,18:29:00,18:44:00,0,1
Shaul1,23,18:44:00,18:59:00,0,1
Shaul2,23,18:44:00,18:59:00,0,2
Shaul3,23,18:44:00,18:59:00,0,3
Shaul4,23,18:44:00,18:59:00,0,1
Shaul1,23,18:59:00,19:14:00,25.887050897144807,4
Shaul2,23,18:59:00,19:14:00,0,2
Shaul3,23,18:59:00,19:14:00,0,1
Shaul4,23,18:59:00,19:14:00,0,3
Shaul1,23,19:14:00,19:29:00,0,2
Shaul2,23,19:14:00,19:29:00,0,2
Shaul3,23,19:14:00,19:29:00,0,3
Shaul4,23,19:14:00,19:29:00,0,4
Shaul1,23,19:29:00,19:44:00,0,4
Shaul2,23,19:29:00,19:44:00,0,5
Shaul3,23,19:29:00,19:44:00,0,3
Shaul4,23,19:29:00,19:44:00,4.811688411533131,5
Shaul1,23,19:44:00,19:59:00,25.887050897144807,4
Shaul2,23,19:44:00,19:59:00,0,4
Shaul3,23,19:44:00,19:59:00,0,3
Shaul4,23,19:44:00,19:59:00,9.623376823066263,5
Shaul1,23,19:59:00,20:14:00,0,4
Shaul2,23,19:59:00,20:14:00,26.294592196152692,5
Shaul3,23,19:59:00,20:14:00,0,1
Shaul4,23,19:59:00,20:14:00,0,4
Shaul1,23,20:14:00,20:29:00,25.887050897144807,6
Shaul2,23,20:14:00,20:29:00,26.294592196152692,3
Shaul3,23,20:14:00,20:29:00,0,2
Shaul4,23,20:14:00,20:29:00,0,4
Shaul1,23,20:29:00,20:44:00,25.887050897144807,6
Shaul2,23,20:29:00,20:44:00,26.294592196152692,6
Shaul3,23,20:29:00,20:44:00,0,1
Shaul4,23,20:29:00,20:44:00,0,6
Shaul1,23,20:44:00,20:59:00,0,4
